Id,Designator,Footprint,Quantity,Comment,Supplier,ref
1,"C1,C10 ",C_0402_1005Metric,2,1uF,,
2," C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17", C_0402_1005Metric,11,0.1uF,,
3,"C13,C14,C18,C19", C_0603_1608Metric,4,10uF,,
4," C15,C16",C_0402_1005Metric,2,33pF,,
5," J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,,
6,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,,
7,"R1,R2,R3,R9",R_0402_1005Metric,4,5.1k,,
8," R4,R5",R_0402_1005Metric,2,27,,
9," R6,R7",R_0402_1005Metric,2,1k,,
10," R8,R12",R_0402_1005Metric,2,10k,,
11,R11,R_0402_1005Metric,1,470,,
12,RM2,RMC20452T,1,RM2,,
13,SW1,SW_Push_SPST_NO_Alps_SKRK,1,Button,,
14,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,,
15,U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,Flash Memory,,
16,"U3,U4",SOT-23,2,Voltage Regulator,,
17,USB-C Plug,USB_C_Plug_JAE_DX07P024AJ1,1,USB_C_Plug_USB2.0,,
18,USB-C Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,,
19,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal,,
